State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial,110,33,0,Low
Andhra Pradesh,Hyderabad,Nacharam,Industrial,92,17,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,32,0,Low
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,89,31,7,Moderate
Andhra Pradesh,Hyderabad,Charminar,Residential and other,107,34,2,Moderate
Andhra Pradesh,Hyderabad,Jubilee Hills,Residential and other,108,16,0,Low
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,34,1,Moderate
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,96,22,3,Low
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,107,17,0,High
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,106,11,0,Low
Andhra Pradesh,Patencheru,Police Station,Residential and other,105,24,0,Low
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,100,18,0,Low
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,116,9,0,Moderate
Andhra Pradesh,Vijaywada,Autonagar,Industrial,110,30,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,110,26,0,Low
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,112,28,0,Low
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,112,33,0,Moderate
Andhra Pradesh,Visakhapatnam,Mndi,Residential and other,111,27,1,Low
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,113,32,0,Moderate
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,112,31,2,Moderate
Andhra Pradesh,Visakhapatnam,Naval Area/ ESI Hospital  ,Sensitive,112,28,57,Critical
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,106,11,0,Low
Assam,Bongaigaon,Campus of Oil India,Residential and other,105,10,0,Low
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,96,11,0,Low
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,43,11,0,Low
Assam,Guwahati,Fire Brigade Station,Residential and other,92,18,0,Low
Assam,Guwahati,Gopinath Nagar,Residential and other,211,14,0,Low
Assam,Guwahati,Head Office,Residential and other,93,19,0,Low
